# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
249                4.8511181122         4.7432663441         3.9549284444
250                4.8511181122         4.7769827250         4.0300516789
251                4.8511181122         4.7745251824         4.1512581014
252                4.8511181122         4.7801754122         4.4575602652
253                4.8511181122         4.7717693018         4.2809065954
254                4.8511181122         4.7658513798         4.3585865856
255                4.8511181122         4.7479064567         4.1585229781
256                4.8511181122         4.7056152987         4.0556427383
257                4.8511181122         4.7411482914         4.0469412453
258                4.8511181122         4.7767781630         4.4146365136
259                4.8511181122         4.7413292294         3.9349922220
260                4.8544501699         4.7820777831         3.8719799346
261                4.8544501699         4.7335745277         3.8719799346
262                4.8544501699         4.7881070834         4.2296135451
263                4.8544501699         4.8044889337         4.7788252270
264                4.8544501699         4.7910506476         3.9968068582
265                4.8544501699         4.7971351309         4.0527248226
266                4.8544501699         4.7708993768         3.9106919350
267                4.8544501699         4.7795912367         4.0687427682
268                4.8544501699         4.7727338349         3.9894082145
269                4.8544501699         4.7599899831         4.0113343511
270                4.8544501699         4.7967279138         4.4748862499
271                4.8544501699         4.7827952044         3.8903825713
272                4.8544501699         4.7634388163         4.0225845654
273                4.8544501699         4.7665318187         3.9523774409
274                4.8544501699         4.7949387960         4.1206637662
275                4.8544501699         4.7665028558         3.7185701381
276                4.8544501699         4.7753595049         3.8675350573
277                4.8544501699         4.7755711983         3.9423110293
278                4.8544501699         4.7741971194         4.0816324842
279                4.8544501699         4.7937644080         4.4187580533
280                4.8544501699         4.7998160062         4.4693792391
281                4.8544501699         4.8123816785         4.7002375373
282                4.8544501699         4.7839667682         3.9859148450
283                4.8544501699         4.8146038709         4.8113471589
284                4.8544501699         4.7845209764         4.2080097021
285                4.8544501699         4.7920483864         4.0490436259
286                4.8544501699         4.7800518239         4.0310266664
287                4.8544501699         4.7423095991         3.9557357025
288                4.8544501699         4.7737366873         4.2776538076
289                4.8544501699         4.8124974612         4.7060266714
290                4.8544501699         4.8027008031         4.2161937676
291                4.8544501699         4.7983905194         4.2932605152
292                4.8544501699         4.7733683205         4.1318779073
293                4.8544501699         4.7944952883         4.3538684716
294                4.8544501699         4.8014257721         4.1210250334
295                4.8757653890         4.8080172929         4.4060535122
296                4.8757653890         4.8072983030         4.5297910748
297                4.8757653890         4.8040004047         4.1090954638
298                4.8757653890         4.8107615577         4.4176668935
299                4.8757653890         4.8186351630         4.8113471589
300                4.8757653890         4.7953299144         4.1051299076
301                4.8757653890         4.8241392577         4.8211758993
302                4.8757653890         4.8091965846         4.2257179326
303                4.8757653890         4.8158054585         4.6369038058
304                4.8757653890         4.8002850473         4.2375291884
305                4.8757653890         4.7647639925         4.0133144172
306                4.8757653890         4.7577323176         4.0331134034
307                4.8757653890         4.8104230638         4.1304775492
308                4.8757653890         4.8181906431         4.5966595493
309                4.8757653890         4.8051904005         4.2505260554
310                4.8757653890         4.8103393243         4.2040936061
311                4.8757653890         4.7573707024         3.9177160836
312                4.8757653890         4.7816450303         3.9021577348
313                4.8757653890         4.8063226154         4.4320258111
314                4.8757653890         4.8030953060         3.9620813146
315                4.8757653890         4.8136783346         4.4912327447
316                4.8757653890         4.8171217066         4.6796072222
317                4.8757653890         4.7991726027         3.8662715942
318                4.8757653890         4.7976728240         4.2572860074
319                4.8757653890         4.8140788257         4.3624494191
320                4.8757653890         4.8229708992         4.7578693218
321                4.8757653890         4.7893710622         3.8790147375
322                4.8757653890         4.7686681044         3.8588066512
323                4.8757653890         4.8011534077         4.0301835260
324                4.8757653890         4.8193766934         4.5781590301
325                4.8757653890         4.8233628853         4.7774686241
326                4.8757653890         4.8148860563         4.3536271732
327                4.8757653890         4.8016197704         4.1036708231
328                4.8757653890         4.8055258776         3.8856182389
329                4.8757653890         4.7974122134         3.9393820004
330                4.8757653890         4.8128294607         4.2507973929
331                4.8757653890         4.7970192630         4.1251344817
332                4.8757653890         4.8068524637         3.9519475426
333                4.8757653890         4.7981423674         4.0727942271
334                4.8757653890         4.8176182859         4.6557072777
335                4.8757653890         4.7711318654         3.9135914573
336                4.8757653890         4.7979832886         4.3539748708
337                4.8757653890         4.7675371939         3.7346712912
338                4.8757653890         4.7589969282         3.8234052331
339                4.8757653890         4.7869323475         4.3789108982
340                4.8757653890         4.7877552339         4.2043062258
341                4.8757653890         4.7626737500         4.0115809334
342                4.8757653890         4.7832704879         4.3974902435
343                4.8757653890         4.7854073059         4.3275101518
344                4.8757653890         4.8051944896         3.9843133308
345                4.8757653890         4.7865962591         3.8386194609
346                4.8757653890         4.7902582376         4.0369582438
347                4.8757653890         4.7536001330         3.9015639812
348                4.8757653890         4.7464919500         4.0171227456
349                4.8757653890         4.7622981467         3.1458970074
350                4.8757653890         4.8237018518         4.7420186294
351                4.8757653890         4.7664262786         3.8979699205
352                4.8757653890         4.7995715517         4.3417316447
353                4.8757653890         4.7794079193         3.8684249912
354                4.8757653890         4.8001974951         4.1465784301
355                4.8757653890         4.8133751621         4.0677348953
356                4.8757653890         4.8028704021         3.9330150633
357                4.8757653890         4.8257770513         4.7089563027
358                4.8757653890         4.8014893082         4.0279902006
359                4.8757653890         4.8247416331         4.5662032122
360                4.8757653890         4.8026559873         3.8850638260
361                4.8757653890         4.8066176249         4.3205024582
362                4.8757653890         4.7732476001         3.9465509139
363                4.8757653890         4.8112964843         4.6094520211
364                4.8757653890         4.8242240937         4.7612668622
365                4.8757653890         4.7924654985         3.8613250826
366                4.8757653890         4.8278631384         4.7368933690
367                4.8757653890         4.8081893796         3.8727703325
368                4.8757653890         4.8215287898         4.6180444963
369                4.8757653890         4.8206465970         4.3491542656
370                4.8757653890         4.8284909465         4.7275540529
371                4.8757653890         4.8292873353         4.6173887348
372                4.8757653890         4.8274405598         4.4738076827
373                4.8757653890         4.8118940881         4.1718052287
374                4.8757653890         4.8058270288         4.1121289724
375                4.8757653890         4.8224713458         4.3861639921
376                4.8757653890         4.8099160382         4.2826800134
377                4.8757653890         4.8041735024         4.3664129607
378                4.8757653890         4.8268853770         4.7815989884
379                4.8757653890         4.8071574762         4.0702760714
380                4.8757653890         4.7914521502         4.1679134759
381                4.8889087189         4.7820179498         4.1520215811
382                4.8889087189         4.7839055210         4.2137912050
383                4.8889087189         4.7896447254         3.9382121554
384                4.8889087189         4.8213486879         4.4717760864
385                4.8889087189         4.7769424249         3.8756209176
386                4.8889087189         4.7758673771         4.1416782105
387                4.8889087189         4.7880780858         3.9154711334
388                4.8889087189         4.7997448868         4.2367161265
389                4.8889087189         4.8015603514         4.0369893957
390                4.8889087189         4.8022744035         3.8616644070
391                4.8889087189         4.8172650890         4.2959736225
392                4.8889087189         4.8134106501         4.2258354091
393                4.8889087189         4.7954188488         4.1278626886
394                4.8889087189         4.8017777328         4.0163777781
395                4.8889087189         4.8116996557         4.1217134684
396                4.8889087189         4.8145267145         3.8871161517
397                4.8889087189         4.7845328049         3.8850376275
398                4.8889087189         4.8145504172         4.3946254788
399                4.8889087189         4.8285409715         4.7019200989
400                4.8889087189         4.8065328599         4.0160987367
401                4.8889087189         4.8084588421         4.2392032919
402                4.8889087189         4.7958368511         4.1614908735
403                4.8889087189         4.7722355361         3.9564587606
404                4.8889087189         4.7742458590         3.8349249922
405                4.8889087189         4.7428604454         3.9551247855
406                4.8889087189         4.8014062439         4.1921114375
407                4.8889087189         4.8052898964         4.3869913780
408                4.8889087189         4.8192641771         4.5572883086
409                4.8889087189         4.7834219739         4.1463175072
410                4.8889087189         4.8129225023         4.4604443299
411                4.8889087189         4.7423279955         3.9463983705
412                4.8889087189         4.7932383093         4.1669062713
413                4.8889087189         4.8195884641         4.5537761689
414                4.8889087189         4.8100216154         4.0296932582
415                4.8889087189         4.8269568620         4.7869393480
416                4.8889087189         4.7960138693         3.9093004910
417                4.8889087189         4.8302217256         4.7975368773
418                4.8889087189         4.8114535553         4.2414166771
419                4.8889087189         4.8207424649         4.3981076884
420                4.8924253232         4.8342238083         4.8211758993
421                4.9134684608         4.8317997361         4.6557389053
422                4.9134684608         4.8222344296         4.0623586940
423                4.9134684608         4.8101969213         4.0325904595
424                4.9134684608         4.8236937276         4.3129535730
425                4.9134684608         4.8002172421         4.2922270218
426                4.9134684608         4.8107796783         4.2922270218
427                4.9134684608         4.8197916472         4.5278389184
428                4.9225607621         4.8092841717         4.0894786347
429                4.9225607621         4.7912855662         4.1039644169
