# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
0                  3.8307300981         2.5712357451         1.0882137728
1                  3.9709309860         2.6726985753         1.2504873377
2                  3.9709309860         2.8352848069         1.4165659154
3                  4.0430314097         3.0838519638         1.9540362460
4                  4.3529012508         3.2013484117         1.3128587146
5                  4.3529012508         3.3199236439         2.0708090274
6                  4.3529012508         3.4260531036         1.6900349366
7                  4.3529012508         3.5620418686         2.3335853995
8                  4.3529012508         3.7668098729         2.4723814717
9                  4.4931021388         3.8479118816         2.6320970487
10                 4.4931021388         3.8872441295         2.6832110049
11                 4.4931021388         3.8875046577         2.5519709410
12                 4.4931021388         3.8949286328         2.5083907785
13                 4.4931021388         4.0704419640         3.0622095139
14                 4.4948742821         4.1290891588         3.0656164728
15                 4.4948742821         4.0881969979         3.0133912561
16                 4.5453273554         4.2846238275         3.6610611449
17                 4.5453273554         4.3585745602         3.7762260500
18                 4.5453273554         4.3535125036         3.7762260500
19                 4.5453273554         4.4585544866         4.0337396517
20                 4.5453273554         4.4401746840         3.1194419880
21                 4.5470994988         4.4615460631         3.6106837893
22                 4.5470994988         4.4757741789         3.6447384853
23                 4.5470994988         4.4937236835         3.7782276053
24                 4.5470994988         4.4796013750         3.7782276053
25                 4.5470994988         4.4645746288         3.7429775528
26                 4.5470994988         4.4051097903         3.7952027695
27                 4.5470994988         4.3974186391         3.7952027695
28                 4.5470994988         4.4454101821         3.7952027695
29                 4.5470994988         4.5186713346         3.7952027695
30                 4.7250234380         4.5376614698         3.9332452774
31                 4.7267955814         4.5260348435         3.9332452774
32                 4.7267955814         4.5117338259         3.9332452774
33                 4.7267955814         4.5276128372         3.6488443918
34                 4.7267955814         4.4847341504         3.5872738228
35                 4.7267955814         4.5275901735         3.5836414861
36                 4.7267955814         4.5525215777         4.1780286931
37                 4.7267955814         4.5661589772         3.9125216512
38                 4.7267955814         4.6069507775         4.3228041530
39                 4.7267955814         4.5903625297         3.8021421023
40                 4.7267955814         4.5838332714         3.8021421023
41                 4.7267955814         4.6529158460         3.9126927446
42                 4.7267955814         4.7028312828         4.5434671622
43                 4.7267955814         4.7150581029         4.2417984096
44                 4.7267955814         4.7167815680         4.2545243257
45                 4.7267955814         4.7120411493         4.0175033915
46                 4.7267955814         4.6826109142         4.0175033915
47                 4.7267955814         4.7115511901         4.0573716749
48                 4.7267955814         4.6760531918         3.8361364428
49                 4.7267955814         4.6468988068         3.8361364428
50                 4.7267955814         4.6985639098         3.9275805804
51                 4.7267955814         4.7164119049         4.2076117550
52                 4.7267955814         4.7090960336         3.9273502796
53                 4.7267955814         4.6912891065         3.7509171391
54                 4.7267955814         4.6859034646         3.2194548464
55                 4.7267955814         4.7134034173         4.0571873750
56                 4.7267955814         4.7202752867         4.5341929267
57                 4.7267955814         4.6854356186         3.9517610222
58                 4.7267955814         4.6456886737         3.6987827756
59                 4.7267955814         4.6558970748         3.9718107094
60                 4.7267955814         4.6154661646         3.9718107094
61                 4.7267955814         4.6608106656         3.8674029412
62                 4.7267955814         4.6432832486         3.9718107094
63                 4.7267955814         4.6239946491         3.7613817958
64                 4.7267955814         4.6838511142         4.0412590203
65                 4.7267955814         4.6159869261         3.4954279668
66                 4.7267955814         4.6604629080         4.0412590203
67                 4.7267955814         4.6668610876         3.7739902444
68                 4.7267955814         4.6593226660         4.1809645279
69                 4.7267955814         4.6663856566         4.1053528055
70                 4.7267955814         4.6826839556         3.9224622984
71                 4.7267955814         4.6570061891         3.9224622984
72                 4.7267955814         4.6514230524         3.6319496718
73                 4.7267955814         4.6730686533         3.8150130900
74                 4.7267955814         4.6795293022         3.7541633937
75                 4.7267955814         4.6903028532         3.9876252897
76                 4.7267955814         4.6915635191         4.0482396442
77                 4.7267955814         4.7113631397         4.2523512004
78                 4.7267955814         4.6836685135         4.0082498901
79                 4.7267955814         4.7109016057         4.2000155919
80                 4.7267955814         4.6977537277         4.1414138187
81                 4.7267955814         4.6859442029         3.7824194389
82                 4.7267955814         4.6743419098         3.7824194389
83                 4.7267955814         4.6891588522         3.7824194389
84                 4.7267955814         4.6219846678         3.7824194389
85                 4.7267955814         4.6653109453         3.7824194389
86                 4.7267955814         4.6116876304         3.7824194389
87                 4.7267955814         4.6070178249         3.8640222508
88                 4.7267955814         4.6762138910         3.8640222508
89                 4.7267955814         4.6760703619         3.8568457982
90                 4.7267955814         4.6876543604         3.8568457982
91                 4.7267955814         4.6483649024         3.3607720930
92                 4.7267955814         4.6943686180         3.8568457982
93                 4.7267955814         4.7093965857         3.8568457982
94                 4.7267955814         4.6842211765         3.8568457982
95                 4.8146904821         4.6859790745         3.8568457982
96                 4.8146904821         4.6635017693         3.8568457982
97                 4.8146904821         4.6597849840         3.8568457982
98                 4.8146904821         4.6629042394         3.8387720934
99                 4.8146904821         4.6578237751         3.8387720934
100                4.8146904821         4.5651552185         3.7992319957
101                4.8146904821         4.5755801728         3.7992319957
102                4.8146904821         4.5044031209         3.8387720934
103                4.8146904821         4.5457121161         3.3415470138
104                4.8146904821         4.5854927584         3.8568457982
105                4.8146904821         4.7520640349         3.8568457982
106                4.8146904821         4.7274339325         3.7527420729
107                4.8146904821         4.7789147012         3.9608170233
108                4.8178203656         4.7376121225         3.8818707291
109                4.8178203656         4.7361321849         3.8822903234
110                4.8178203656         4.7422058456         3.9608170233
111                4.8178203656         4.7740458879         3.9608170233
112                4.8178203656         4.7645125913         3.9097799396
113                4.8178203656         4.7605714618         3.9097799396
114                4.8178203656         4.7314049654         4.0725446740
115                4.8443712954         4.6909914723         4.0620081351
116                4.8443712954         4.6992081333         3.6521460952
117                4.8443712954         4.6692674792         3.6521460952
118                4.8443712954         4.7398085207         4.0466933888
