# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
0                  0.9127735777         0.0935129114         0.0000000000
1                  2.6476823231         0.3199282605         0.0000000000
2                  1.2047782049         0.2559738897         0.0000000000
3                  0.0504780110         0.0066403411         0.0000000000
4                  0.4098479269         0.0850222325         0.0000000000
5                  2.0928407671         0.2786872032         0.0000000000
6                  4.3161538913         0.6360991182         0.0000000000
7                  1.0200326404         0.1204151599         0.0000000000
8                  2.4181142293         0.2713157614         0.0010124790
9                  0.7112295484         0.1817886863         0.0000000000
10                 0.2466850129         0.0510230107         0.0000000000
11                 2.6320095934         0.4454347649         0.0000000000
12                 2.0090794832         0.4318998282         0.0000000000
13                 4.0688886086         0.7636170496         0.0000000000
14                 3.8985364924         0.9923241369         0.0048407464
15                 0.4312173641         0.0508678892         0.0000000000
16                 1.9563995040         0.3276197908         0.0000000000
17                 0.9105240126         0.1298435179         0.0000000000
18                 1.4370540044         0.2082130814         0.0000000000
19                 3.6052233458         0.8454665011         0.0000000000
20                 1.2012466356         0.2070337689         0.0000000000
21                 0.3060870616         0.0532274738         0.0000000000
22                 3.2364144299         0.5605659320         0.0000000000
23                 0.6616839090         0.1146278313         0.0000000000
24                 0.3529162745         0.1236099176         0.0000000000
25                 1.7671102323         0.2399254246         0.0000000000
26                 0.8979159094         0.1160691809         0.0000000000
27                 0.4206921641         0.0622909590         0.0000000000
28                 0.1642902011         0.0481490570         0.0000000000
29                 8.1762835356         0.8559546345         0.0000000000
30                 0.3238642128         0.0797870604         0.0000000150
31                 0.4963675488         0.1189514206         0.0000000000
32                 0.2116886726         0.0324693393         0.0000000000
33                 4.4213406370         0.5835709921         0.0000000000
34                 0.3087727437         0.0790289158         0.0000000000
35                 1.7999239137         0.3537050378         0.0000000000
36                 0.1094555639         0.0217623016         0.0000000000
37                 1.3101084158         0.1488797908         0.0000000000
38                 0.2037668591         0.0456649626         0.0000000000
39                 1.8785153578         0.2137846380         0.0000000000
40                 0.3193761225         0.0376248368         0.0000000000
41                 0.8014110903         0.1242489607         0.0000000019
42                 2.1510494468         0.2438854153         0.0000000000
43                 0.8967216486         0.1524016610         0.0000000000
44                 0.5229730599         0.0939071775         0.0000000595
45                 2.8200897748         0.3131123228         0.0000000000
46                 1.7290071992         0.3183970311         0.0000000000
47                 1.5280762891         0.1993925121         0.0000000623
48                 0.4616894624         0.0565796732         0.0000000000
49                 2.2818280291         0.3163754308         0.0000000000
50                 0.4376025484         0.1157693414         0.0000000000
51                 0.2531947969         0.0709413510         0.0000000012
52                 2.7447125763         0.3798873655         0.0000000000
